,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation,user_split,user_text,target,location
0,TooCute504,Took the time out to volunteer in BR today. People are still recovering from the flood. Help is… https://www.instagram.com/p/BLFA-gEjZXO/,2016-10-02 23:06:20+00:00,0,0,,,,TooCute504,TooCute504 Took the time out to volunteer in BR today. People are still recovering from the flood. Help is… https://www.instagram.com/p/BLFA-gEjZXO/,0,IA
1,juliakate,The great Paducah Flood Wall Murals... this Atomic City/Quilt City… https://www.instagram.com/p/BLE-XocA4B1Ufpk0NzoxQyNMR3Bam9_vAdcWO00/,2016-10-02 22:43:33+00:00,0,0,,,,juliakate,juliakate The great Paducah Flood Wall Murals... this Atomic City/Quilt City… https://www.instagram.com/p/BLE-XocA4B1Ufpk0NzoxQyNMR3Bam9_vAdcWO00/,0,IA
2,Slapfish_2009,The Barman's Fund and USBG Tailgate Benefit for Flood Relief is on now #DrinkWithPurpose https://www.swarmapp.com/c/7iq4SxJtU4B,2016-10-02 20:32:22+00:00,0,0,,#DrinkWithPurpose,,Slapfish 2009,Slapfish 2009 The Barman's Fund and USBG Tailgate Benefit for Flood Relief is on now #DrinkWithPurpose https://www.swarmapp.com/c/7iq4SxJtU4B,0,IA
3,AhleahZoe1,Flood waters. @Downtown Burlington IA https://www.instagram.com/p/BLEeGU6j09N/,2016-10-02 18:01:34+00:00,0,0,,,,AhleahZoe1,AhleahZoe1 Flood waters. @Downtown Burlington IA https://www.instagram.com/p/BLEeGU6j09N/,1,IA
4,katyxbeth,Last night sure was rainy as seen right before the flood gates opened up but I had a lot of fun!… https://www.instagram.com/p/BLEdPahhizf/,2016-10-02 17:54:06+00:00,0,0,,,,katyxbeth,katyxbeth Last night sure was rainy as seen right before the flood gates opened up but I had a lot of fun!… https://www.instagram.com/p/BLEdPahhizf/,0,IA
5,ShandrikaJ_Love,It's Baxter the Love Alive Dog!!!!!! Rescued from the flood after 7 weeks of being out there!!!!… https://www.instagram.com/p/BLEZIztgGMH/,2016-10-02 17:18:13+00:00,0,0,,,,ShandrikaJ Love,ShandrikaJ Love It's Baxter the Love Alive Dog!!!!!! Rescued from the flood after 7 weeks of being out there!!!!… https://www.instagram.com/p/BLEZIztgGMH/,0,IA
6,amyh2671,"#youarewelcomehere Holy Spirit! Come, flood this place with joy, abundantlife, and… https://www.instagram.com/p/BLEJd-EDGYj/",2016-10-02 15:01:18+00:00,0,0,,#youarewelcomehere,,amyh2671,"amyh2671 #youarewelcomehere Holy Spirit! Come, flood this place with joy, abundantlife, and… https://www.instagram.com/p/BLEJd-EDGYj/",1,IA
7,WeatherByBrian,"Minneapolis, MN: It's official now! Flood Warning for Hennepin, MN until Mon, Oct 03 at 13:00:00 CDT. https://alerts.weather.gov/cap/wwacapget.php?x=MN1256195EFA5C.FloodWarning.1256196ECFE0MN.MPXFLSMPX.1fed262b8d7a637c8f96871ebba62e8d",2016-10-02 14:36:14+00:00,0,0,,,,WeatherByBrian,"WeatherByBrian Minneapolis, MN: It's official now! Flood Warning for Hennepin, MN until Mon, Oct 03 at 13:00:00 CDT. https://alerts.weather.gov/cap/wwacapget.php?x=MN1256195EFA5C.FloodWarning.1256196ECFE0MN.MPXFLSMPX.1fed262b8d7a637c8f96871ebba62e8d",1,IA
8,NWSDodgeCity, Move to higher ground! Flash Flood Warning including Sun City KS until 2:45 PM CDT ,2016-10-02 13:52:17+00:00,0,1,,,,NWSDodgeCity,NWSDodgeCity  Move to higher ground! Flash Flood Warning including Sun City KS until 2:45 PM CDT ,1,IA
9,TotalTrafficMCO,"Flash floods, caution in #Orange on Pne Hills Rd Both NB/SB at Hwy 50 #traffic http://bit.ly/ZE5wVb",2016-10-02 06:12:37+00:00,0,0,,#Orange #traffic,,TotalTrafficMCO,"TotalTrafficMCO Flash floods, caution in #Orange on Pne Hills Rd Both NB/SB at Hwy 50 #traffic http://bit.ly/ZE5wVb",1,IA
10,WeatherByBrian,"Minneapolis, MN: Weather alert: Flood Warning for Hennepin, MN until Mon, Oct 03 at 19:00:00 CDT. https://alerts.weather.gov/cap/wwacapget.php?x=MN1256195D05F8.FloodWarning.1256197B5300MN.MPXFLSMPX.1fed262b8d7a637c8f96871ebba62e8d",2016-10-02 04:41:15+00:00,0,0,,,,WeatherByBrian,"WeatherByBrian Minneapolis, MN: Weather alert: Flood Warning for Hennepin, MN until Mon, Oct 03 at 19:00:00 CDT. https://alerts.weather.gov/cap/wwacapget.php?x=MN1256195D05F8.FloodWarning.1256197B5300MN.MPXFLSMPX.1fed262b8d7a637c8f96871ebba62e8d",1,IA
11,DaveeC_,Flood gates,2016-10-02 01:44:37+00:00,0,0,,,,DaveeC ,DaveeC  Flood gates,1,IA
12,oozorakko,"Source: ""Atlanta Flood 2009 - River View Road"" by rocbolt on Flickr ",2016-10-02 01:41:01+00:00,1,1,,,,oozorakko,"oozorakko Source: ""Atlanta Flood 2009 - River View Road"" by rocbolt on Flickr ",1,IA
13,iembot_mlb,"At 8:39 PM, 5 SW Fairview Shores [Orange Co, FL] FIRE DEPT/RESCUE reports FLASH FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020039/201610020039",2016-10-02 00:49:58+00:00,0,0,,#MLB,,iembot mlb,"iembot mlb At 8:39 PM, 5 SW Fairview Shores [Orange Co, FL] FIRE DEPT/RESCUE reports FLASH FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020039/201610020039",1,IA
14,iembot_mlb,"At 8:20 PM, 4 WNW Altamonte Springs [Seminole Co, FL] TRAINED SPOTTER reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020020/201610020020",2016-10-02 00:37:01+00:00,0,0,,#MLB,,iembot mlb,"iembot mlb At 8:20 PM, 4 WNW Altamonte Springs [Seminole Co, FL] TRAINED SPOTTER reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020020/201610020020",1,IA
15,NWSMelbourne, Move to higher ground! Flash Flood Warning continues for Orlando FL and Pine Hills FL until 9:15 PM EDT ,2016-10-02 00:30:50+00:00,5,1,,,,NWSMelbourne,NWSMelbourne  Move to higher ground! Flash Flood Warning continues for Orlando FL and Pine Hills FL until 9:15 PM EDT ,1,IA
16,iembot_mlb,"At 8:14 PM, 4 W Azalea Park [Orange Co, FL] LAW ENFORCEMENT reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020014/201610020014",2016-10-02 00:30:43+00:00,0,0,,#MLB,,iembot mlb,"iembot mlb At 8:14 PM, 4 W Azalea Park [Orange Co, FL] LAW ENFORCEMENT reports FLOOD #MLB http://mesonet.agron.iastate.edu/lsr/#MLB/201610020014/201610020014",1,IA
