,Date,Favorites,Geolocation,HashTags,Mentions,Retweets,Text,User,target,user_split,user_text,location
0,2019-07-19 22:40:31+00:00,0,,#Respect,@BBCWorld @BigCatRescue,1,Nice to have a positive story about big cats for a change! #Respect India floods: Tired tiger takes nap in resident's bed via @BBCWorld https://www.bbc.com/news/world-asia-india-49041722 @BigCatRescue,Gabriettaa,0,Gabriettaa,Gabriettaa Nice to have a positive story about big cats for a change! #Respect India floods: Tired tiger takes nap in resident's bed via @BBCWorld https://www.bbc.com/news/world-asia-india-49041722 @BigCatRescue,WI
1,2019-07-19 22:26:34+00:00,0,,,,0,my dad just told me to flood my car so I can get a new one.. alright bet,chaaasiti04,1,chaaasiti04,chaaasiti04 my dad just told me to flood my car so I can get a new one.. alright bet,WI
2,2019-07-19 22:19:05+00:00,1,,,,2,"Happy B-day Reggie, from the office!!!",JDenius,1,JDenius,"JDenius Happy B-day Reggie, from the office!!!",WI
3,2019-07-19 22:17:13+00:00,0,,,,0,Something about how crime will magically drop if we plant a few things in vacant lots,beganovic2021,1,beganovic2021,beganovic2021 Something about how crime will magically drop if we plant a few things in vacant lots,WI
4,2019-07-19 20:57:18+00:00,0,,,,0,Lol mine too. I’ve been avoiding floods for the simple fact ima be addicted to going and I’m at that age to embrace it lol sad but true,RiskItAllRichy,1,RiskItAllRichy,RiskItAllRichy Lol mine too. I’ve been avoiding floods for the simple fact ima be addicted to going and I’m at that age to embrace it lol sad but true,WI
5,2019-07-19 19:53:44+00:00,0,,,@RAGBRAI_IOWA,2,Riding the bus along I29 to @RAGBRAI_IOWA and seeing the lingering flood waters. Devastating,CajunCy,1,CajunCy,CajunCy Riding the bus along I29 to @RAGBRAI_IOWA and seeing the lingering flood waters. Devastating,WI
6,2019-07-19 19:45:14+00:00,1,,,,4,The last guy that asked me out went MIA and implied that plans were canceled due to his car getting wrecked by a flood. The second guy had scheduling conflicts. The third guy just asked me to hang out at MY HOUSE. NIGGA.,okmickeyy,1,okmickeyy,okmickeyy The last guy that asked me out went MIA and implied that plans were canceled due to his car getting wrecked by a flood. The second guy had scheduling conflicts. The third guy just asked me to hang out at MY HOUSE. NIGGA.,WI
7,2019-07-19 17:57:01+00:00,0,,,,1,https://kttc.com/news/top-stories/2019/07/19/high-water-levels-flooded-fields-in-winona-county/ Flash floods in Pickwick – at Pickwick Mill,KttcKilat,1,KttcKilat,KttcKilat https://kttc.com/news/top-stories/2019/07/19/high-water-levels-flooded-fields-in-winona-county/ Flash floods in Pickwick – at Pickwick Mill,WI
8,2019-07-19 17:50:48+00:00,0,,,,1,"Yeah! If the world doesn’t melt, flood, or tornado away before then.",jsgascoigne,1,jsgascoigne,"jsgascoigne Yeah! If the world doesn’t melt, flood, or tornado away before then.",WI
9,2019-07-19 17:39:57+00:00,6,,,,34,"When the sharpest words wanna cut me down I'm gonna send a flood, gonna drown them out I am brave, I am bruised I am who I'm meant to be, this is me Look out 'cause here I come And I'm marching on to the beat I drum I'm not scared to be seen I make no apologies, this is me ",MrsKellyPierce,1,MrsKellyPierce,"MrsKellyPierce When the sharpest words wanna cut me down I'm gonna send a flood, gonna drown them out I am brave, I am bruised I am who I'm meant to be, this is me Look out 'cause here I come And I'm marching on to the beat I drum I'm not scared to be seen I make no apologies, this is me ",WI
10,2019-07-19 16:43:49+00:00,3,,#foxconn,@HowardELPC,4,@HowardELPC: the SBA disaster loan program will be more important than ever. Because of increase in flood intensity and frequency we must have more protection to mitigate where we can. In #foxconn type situations we need good permitting and impact studies to reduce pressure. – at Wheeling Town Hall,DavidMcEllis,1,DavidMcEllis,DavidMcEllis @HowardELPC: the SBA disaster loan program will be more important than ever. Because of increase in flood intensity and frequency we must have more protection to mitigate where we can. In #foxconn type situations we need good permitting and impact studies to reduce pressure. – at Wheeling Town Hall,WI
11,2019-07-19 15:38:48+00:00,0,,,,0,"Right? Lived in San Diego during the 80s and 90s. Not only did we have huge flooding issues, but lots of flash floods. Every night you’d see cars floating down what had previously been a river bad. Very scary.",kpax512,1,kpax512,"kpax512 Right? Lived in San Diego during the 80s and 90s. Not only did we have huge flooding issues, but lots of flash floods. Every night you’d see cars floating down what had previously been a river bad. Very scary.",WI
